OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1341,1433072,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1287,2020-01-15T00:16:25.000Z
1342,1433073,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0747,2020-01-17T00:11:00.000Z
1343,1433075,2310,0,LARCENY,1708 US THEFT OF MAIL,4,4A,0937,2020-01-16T00:17:52.000Z
1344,1433076,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1B,0435,2020-01-10T00:10:01.000Z
1345,1433078,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6C,1153,2020-01-14T00:19:00.000Z
1346,1433082,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0136,2020-01-11T00:11:30.000Z
1347,1433086,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0337,2020-01-15T00:12:05.000Z
1348,1433088,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1A,0116,2020-01-14T00:15:50.000Z
1349,1433089,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0442,2020-01-16T00:11:40.000Z
1350,1433094,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1B,0468,2020-01-13T00:17:00.000Z
1351,1433096,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5C,1654,2020-01-17T00:19:50.000Z
1352,1433097,5011,0,OBST JUDICIARY,3056 PAROLE VIOLATION,3,3A,0704,2020-01-16T00:09:31.000Z
1353,1433098,7399,54,SAC CITY CODE,12.24.020 ERECT SIGN SIDEWALK,3,3A,0704,2020-01-15T00:11:11.000Z
1354,1433099,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0744,2020-01-17T00:09:16.000Z
1355,1433100,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6A,1081,2020-01-17T00:13:39.000Z
1356,1433101,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0909,2020-01-17T00:16:23.000Z
1357,1433102,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3B,0748,2020-01-18T00:08:38.000Z
1358,1433103,7399,54,SAC CITY CODE,12.24.020 ERECT SIGN SIDEWALK,3,3A,0704,2020-01-18T00:08:00.000Z
1359,1433105,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1B,0468,2020-01-13T00:17:00.000Z
1360,1433106,2205,0,BURGLARY,459 PC BURG BUSINESS-NO FORCE,1,1B,0442,2020-01-17T00:08:44.000Z
1361,1433110,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,1,1A,0327,2020-01-18T00:10:03.000Z
1362,1433115,5707,0,PRIVACY,602 PC TRESPASS,4,4C,1287,2020-01-18T00:11:37.000Z
1363,1433117,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5A,1361,2020-01-17T00:13:25.000Z
1364,1433121,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,6,6B,1054,2020-01-15T00:14:59.000Z
1365,1433122,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6B,1084,2020-01-18T00:11:16.000Z
1366,1433123,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,6,6B,1086,2020-01-18T00:13:33.000Z
1367,1433126,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0604,2020-01-13T00:09:30.000Z
1368,1433130,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,5,5B,1603,2020-01-18T00:16:49.000Z
1369,1433131,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,4,4C,1209,2020-01-18T00:18:57.000Z
1370,1433134,4801,5,OBSTRUCTING,69 PC RESIST/OBSTRCT EXEC OFC,4,4B,0976,2020-01-18T00:17:04.000Z
1371,1433136,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5C,1606,2020-01-14T00:13:19.000Z
1372,1433137,5404,10,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,5,5A,1398,2020-01-18T00:19:03.000Z
1373,1433138,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,0786,2020-01-16T00:08:32.000Z
1374,1433139,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5B,1631,2020-01-17T00:08:11.000Z
1375,1433140,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6E,1102,2020-01-17T00:15:16.000Z
1376,1433141,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3A,0715,2020-01-17T00:19:24.000Z
1377,1433142,5403,1,TRAFFIC,23152(F) DUI DRUGS,6,6C,1445,2020-01-18T00:19:04.000Z
1378,1433144,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5C,1623,2020-01-18T00:15:51.000Z
1379,1433145,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6C,1147,2020-01-18T00:16:07.000Z
1380,1433146,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,6,6E,0888,2020-01-19T00:01:11.000Z
1381,1433147,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0841,2020-01-09T00:10:38.000Z
1382,1433148,5212,01,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,3,3B,0716,2020-01-18T00:13:50.000Z
1383,1433149,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5C,1605,2020-01-18T00:15:51.000Z
1384,1433152,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,1,1A,0123,2020-01-18T00:15:47.000Z
1385,1433156,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,2,2A,0512,2020-01-17T00:14:10.000Z
1386,1433157,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,1,1A,0302,2020-01-18T00:16:01.000Z
1387,1433159,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,1,1C,0429,2020-01-02T00:09:45.000Z
1388,1433160,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,4,4A,0906,2020-01-02T00:08:30.000Z
1389,1433161,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4A,0909,2020-01-02T00:08:30.000Z
1390,1433162,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0567,2020-01-02T00:08:44.000Z
1391,1433163,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5A,1383,2020-01-02T00:15:15.000Z
1392,1433164,5212,01,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,3,3B,0746,2020-01-19T00:00:54.000Z
1393,1433166,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0782,2020-01-19T00:07:00.000Z
1394,1433167,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,6,6C,1132,2020-01-18T00:20:36.000Z
1395,1433168,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5C,1623,2020-01-02T00:01:35.000Z
1396,1433169,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6B,1058,2020-01-02T00:23:06.000Z
1397,1433170,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,0504,2020-01-02T00:15:56.000Z
1398,1433171,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1088,2020-01-18T00:23:00.000Z
1399,1433172,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0567,2020-01-02T00:08:40.000Z
1400,1433173,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1402,2020-01-18T00:23:30.000Z
1401,1433174,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1088,2020-01-18T00:22:00.000Z
1402,1433175,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5B,1358,2020-01-18T00:22:09.000Z
1403,1433176,1313,19,BATTERY,242 PC BATTERY CIVILIAN,1,1B,0421,2020-01-19T00:01:08.000Z
1404,1433177,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6D,0841,2020-01-18T00:22:18.000Z
1405,1433179,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,0716,2020-01-11T00:19:24.000Z
1406,1433181,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1602,2020-01-18T00:19:00.000Z
1407,1433182,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4A,0905,2020-01-19T00:09:00.000Z
1408,1433183,2399,31,LARCENY,487(D)(2) GRAND THFT GUN >$950,5,5A,1504,2020-01-18T00:22:00.000Z
1409,1433186,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,6,6B,1401,2020-01-18T00:21:57.000Z
1410,1433189,5212,24,WEAPONS,12022.1 PC COMMIT FEL ON BAIL,2,2B,0552,2020-01-19T00:00:27.000Z
1411,1433190,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3B,0748,2020-01-19T00:00:58.000Z
1412,1433193,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,2,2B,0526,2020-01-19T00:03:51.000Z
1413,1433195,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,5,5B,1621,2020-01-18T00:22:10.000Z
1414,1433196,2606,2,FRAUD,476A(A) NSF CHECKS < $950,5,5A,1396,2020-01-19T00:13:32.000Z
1415,1433197,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1391,2020-01-19T00:16:00.000Z
1416,1433198,1315,15,AGG ASSAULT,244 PC ASSAULT W/ CAUST CHEMIC,5,5B,1621,2020-01-19T00:21:16.000Z
1417,1433203,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,5,5A,1512,2020-01-19T00:13:30.000Z
1418,1433208,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6E,1117,2020-01-18T00:01:59.000Z
1419,1433209,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,2,2B,0537,2020-01-18T00:04:00.000Z
1420,1433210,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0746,2020-01-17T00:17:30.000Z
1421,1433211,2304,0,LARCENY,484 PC PETTY THEFT AUTO PART,5,5A,1391,2020-01-18T00:12:20.000Z
1422,1433212,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0214,2020-01-14T00:04:00.000Z
1423,1433213,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4C,1253,2020-01-17T00:20:00.000Z
1424,1433214,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,3,3A,0704,2020-01-15T00:13:20.000Z
1425,1433215,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5A,1364,2020-01-19T00:00:32.000Z
1426,1433218,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1087,2020-01-19T00:05:50.000Z
1427,1433221,2308,1,LARCENY,487(A) GRAND THEFT-INSIDE,2,2A,0504,2020-01-18T00:15:00.000Z
1428,1433224,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0748,2020-01-19T00:09:18.000Z
1429,1433225,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6E,1115,2020-01-19T00:16:57.000Z
1430,1433226,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6B,1084,2020-01-19T00:14:57.000Z
1431,1433227,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0564,2020-01-19T00:15:01.000Z
1432,1433228,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,1,1A,0343,2020-01-19T00:18:58.000Z
1433,1433232,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,6,6A,1081,2020-01-18T00:18:32.000Z
1434,1433234,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0553,2020-01-19T00:09:00.000Z
1435,1433249,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6A,1042,2020-01-20T00:03:00.000Z
1436,1433256,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0628,2020-01-17T00:18:05.000Z
1437,1433260,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,5,5C,1644,2020-01-19T00:10:55.000Z
1438,1433263,5212,01,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,3,3A,0701,2020-01-19T00:17:17.000Z
1439,1433264,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6E,0876,2020-01-08T00:07:20.000Z
1440,1433265,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,4,4B,0969,2020-01-19T00:19:09.000Z
1441,1433268,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0728,2020-01-17T00:16:00.000Z
1442,1433270,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0337,2020-01-19T00:17:30.000Z
1443,1433271,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,4,4C,1279,2020-01-20T00:05:20.000Z
1444,1433272,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0746,2020-01-19T00:21:00.000Z
1445,1433275,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6C,1446,2020-01-19T00:13:30.000Z
1446,1433276,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0802,2020-01-17T00:08:00.000Z
1447,1433278,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,0731,2020-01-20T00:00:26.000Z
1448,1433279,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,3,3A,0701,2020-01-03T00:09:31.000Z
1449,1433280,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6D,0825,2020-01-19T00:22:00.000Z
1450,1433281,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5C,1606,2020-01-03T00:08:40.000Z
1451,1433282,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1A,0103,2020-01-19T00:21:59.000Z
1452,1433284,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,2,2A,0517,2020-01-19T00:02:48.000Z
1453,1433285,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,2,2C,0611,2020-01-19T00:08:12.000Z
1454,1433287,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6A,1031,2020-01-03T00:13:09.000Z
1455,1433289,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6A,1041,2020-01-03T00:12:56.000Z
1456,1433290,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0406,2020-01-19T00:16:30.000Z
1457,1433291,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1061,2020-01-20T00:13:45.000Z
1458,1433294,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,2,2C,0604,2020-01-17T00:11:00.000Z
1459,1433295,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3M,0751,2020-01-18T00:11:00.000Z
1460,1433296,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0785,2020-01-14T00:00:00.000Z
1461,1433297,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1359,2020-01-19T00:12:45.000Z
1462,1433298,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6A,1014,2020-01-03T00:12:48.000Z
1463,1433299,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,2,2B,0546,2020-01-19T00:16:04.000Z
1464,1433314,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2C,0628,2020-01-18T00:16:25.000Z
1465,1433315,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,6,6B,1084,2020-01-19T00:19:21.000Z
1466,1433317,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0212,2020-01-06T00:14:00.000Z
1467,1433318,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5A,1398,2020-01-19T00:07:30.000Z
1468,1433319,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0232,2020-01-17T00:11:38.000Z
1469,1433320,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0305,2020-01-19T00:09:32.000Z
1470,1433321,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,6,6C,1141,2020-01-19T00:11:30.000Z
1471,1433322,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0620,2020-01-17T00:12:24.000Z
1472,1433323,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1287,2020-01-17T00:18:00.000Z
1473,1433324,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1616,2020-01-20T00:02:00.000Z
1474,1433325,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1013,2020-01-20T00:11:00.000Z
1475,1433326,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,6,6A,1014,2020-01-18T00:22:20.000Z
1476,1433327,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2A,0505,2020-01-19T00:21:50.000Z
1477,1433328,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2A,0235,2020-01-16T00:18:00.000Z
1478,1433329,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,6,6B,1421,2020-01-19T00:11:51.000Z
1479,1433330,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0734,2020-01-19T00:23:13.000Z
1480,1433331,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0732,2020-01-18T00:04:00.000Z
1481,1433332,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0232,2020-01-18T00:09:31.000Z
1482,1433333,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1068,2020-01-17T00:01:05.000Z
1483,1433335,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0735,2020-01-20T00:13:46.000Z
1484,1433336,5212,54A,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-MISD,2,2B,0526,2020-01-20T00:10:46.000Z
1485,1433337,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,3,3M,0742,2020-01-20T00:14:10.000Z
1486,1433345,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0623,2020-01-18T00:16:08.000Z
1487,1433346,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6C,1111,2020-01-17T00:09:15.000Z
1488,1433347,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,5,5C,1654,2020-01-18T00:22:00.000Z
1489,1433348,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0568,2020-01-11T00:00:00.000Z
1490,1433349,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6E,0877,2020-01-18T00:12:00.000Z
1491,1433350,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0338,2020-01-20T00:13:21.000Z
1492,1433351,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0933,2020-01-03T00:12:35.000Z
1493,1433354,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0742,2020-01-18T00:21:10.000Z
1494,1433358,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5B,1614,2020-01-20T00:07:15.000Z
1495,1433360,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4A,0906,2020-01-20T00:10:55.000Z
1496,1433361,5707,5,TRESPASS,602(K)TRESPASS:INJURE PROPERTY,5,5C,1605,2020-01-20T00:13:50.000Z
1497,1433362,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5A,1522,2020-01-20T00:14:00.000Z
1498,1433363,5309,02,PUBLIC PEACE,653X(A) MISUSE 911 EMERGENCY,5,5A,1391,2020-01-20T00:10:01.000Z
1499,1433364,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,6,6C,1443,2020-01-19T00:17:26.000Z
1500,1433365,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6D,0856,2020-01-18T00:02:50.000Z
1501,1433366,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,4,4B,1356,2020-01-19T00:15:39.000Z
1502,1433367,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1406,2020-01-20T00:07:37.000Z
1503,1433371,0999,11,HOMICIDE,664/187(A) ATTEMPTED HOMICIDE,2,2A,0237,2020-01-19T00:19:41.000Z
1504,1433373,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5C,1624,2020-01-04T00:03:33.000Z
1505,1433374,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,1326,2020-01-04T00:18:44.000Z
1506,1433376,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2C,0611,2020-01-05T00:13:19.000Z
1507,1433377,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,6,6A,1015,2020-01-20T00:19:01.000Z
1508,1433380,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,4,4C,1301,2020-01-20T00:13:26.000Z
1509,1433387,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2C,0622,2020-01-20T00:16:15.000Z
1510,1433388,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,2,2A,0239,2020-01-19T00:03:35.000Z
1511,1433389,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4A,0934,2020-01-19T00:09:30.000Z
1512,1433390,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,2,2C,0567,2020-01-14T00:19:30.000Z
1513,1433391,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5C,1637,2020-01-17T00:22:35.000Z
1514,1433392,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6A,1081,2020-01-18T00:14:44.000Z
1515,1433396,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0223,2020-01-20T00:14:59.000Z
1516,1433401,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0214,2020-01-06T00:22:42.000Z
1517,1433408,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5A,1396,2020-01-11T00:10:36.000Z
1518,1433409,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,5,5A,1391,2020-01-20T00:07:22.000Z
1519,1433410,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3M,0742,2020-01-20T00:21:04.000Z
1520,1433411,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1359,2020-01-20T00:03:18.000Z
1521,1433412,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5B,1358,2020-01-20T00:15:49.000Z
1522,1433413,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,1,1A,0307,2020-01-20T00:19:54.000Z
1523,1433414,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,2,2C,0603,2020-01-20T00:15:12.000Z
1524,1433415,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,3,3M,0742,2020-01-20T00:15:59.000Z
1525,1433416,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,2,2B,0564,2020-01-19T00:22:18.000Z
1526,1433419,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2C,0567,2020-01-16T00:14:29.000Z
1527,1433422,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0746,2020-01-20T00:18:30.000Z
1528,1433425,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6B,1401,2020-01-18T00:13:30.000Z
1529,1433426,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3M,0734,2020-01-16T00:17:05.000Z
1530,1433427,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4A,0912,2020-01-20T00:17:30.000Z
1531,1433430,2310,0,LARCENY,1708 US THEFT OF MAIL,5,5C,1635,2020-01-18T00:12:00.000Z
1532,1433432,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0440,2020-01-12T00:02:00.000Z
1533,1433433,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6C,1441,2020-01-18T00:16:05.000Z
1534,1433434,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1147,2020-01-20T00:21:08.000Z
1535,1433435,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4A,0908,2020-01-20T00:20:50.000Z
1536,1433436,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0614,2020-01-20T00:19:33.000Z
1537,1433437,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0611,2020-01-18T00:18:21.000Z
1538,1433438,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0232,2020-01-20T00:12:14.000Z
1539,1433439,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,2020-01-18T00:14:00.000Z
1540,1433441,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4A,0965,2020-01-18T00:13:00.000Z
1541,1433443,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0333,2020-01-20T00:14:30.000Z
1542,1433444,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4A,1206,2020-01-18T00:09:10.000Z
1543,1433445,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1C,0429,2020-01-19T00:00:16.000Z
1544,1433446,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0305,2020-01-20T00:11:00.000Z
1545,1433447,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4B,1346,2020-01-19T00:01:45.000Z
1546,1433448,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,1353,2020-01-21T00:06:04.000Z
1547,1433449,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1A,0104,2020-01-01T00:00:00.000Z
1548,1433450,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2A,0232,2020-01-20T00:08:33.000Z
1549,1433451,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1038,2020-01-20T00:19:00.000Z
1550,1433452,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3A,0706,2020-01-04T00:12:34.000Z
1551,1433453,2602,0,FRAUD,FRAUD-SWINDLE,5,5A,1361,2020-01-19T00:11:45.000Z
1552,1433454,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,5,5B,1614,2020-01-17T00:16:31.000Z
1553,1433455,2399,31,LARCENY,487(D)(2) GRAND THFT GUN >$950,6,6A,1014,2020-01-13T00:13:25.000Z
1554,1433456,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3A,0712,2020-01-04T00:17:27.000Z
1555,1433457,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6D,0804,2020-01-15T00:10:30.000Z
1556,1433458,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,3,3A,0785,2020-01-18T00:17:00.000Z
1557,1433459,2602,0,FRAUD,FRAUD-SWINDLE,2,2A,0231,2020-01-19T00:15:00.000Z
1558,1433461,3699,19,SEX REGISTRATI,290.012(A) FAIL TO REG-ANNUAL,3,3A,0701,2020-01-21T00:09:40.000Z
